batch,channel,real,imag
11,11,-0.00488281,-0.000488281
11,12,-0.00170898,0.0020752
11,13,-0.00219727,0.00268555
11,14,-0.00158691,0.00317383
11,15,-0.00268555,0.00268555
11,16,-0.000732422,-0.00390625
11,17,-0.00268555,0.00109863
11,18,-0.00195312,0.00878906
11,19,-0.00463867,0.00366211
11,20,0.00146484,-0.0020752
11,21,-0.00341797,0.000732422
11,22,-0.0045166,0.00231934
11,23,-0.00305176,-0.00402832
11,24,-0.00231934,-0.000244141
11,25,0.00390625,0.000854492
11,26,-0.00463867,-0.000854492
11,27,-0.00231934,-0.000610352
11,28,0.00146484,0.000366211
11,29,0.00146484,-0.00134277
11,30,-0.00598145,-0.000732422
11,31,0.0032959,0.00012207
11,32,-0.00280762,-0.00231934
11,33,-0.00500488,0.00378418
11,34,-0.000488281,0.00134277
11,35,0.000976562,-0.00158691
11,36,-0.00012207,-0.000366211
11,37,0.00158691,0.000366211
11,38,-0.00219727,0.00158691
11,39,-0.00268555,-0.000244141
11,40,0,0.000366211
11,41,0.00219727,-0.00012207
11,42,0.00354004,-0.00231934
11,43,0.000244141,0.00183105
11,44,-0.000488281,0.00366211
11,45,0.00170898,-0.00109863
11,46,-0.0020752,0.000366211
11,47,-0.00268555,-0.0012207
12,0,-0.00317383,-0.00158691
12,1,0.0020752,0.00195312
12,2,0.00134277,-0.000488281
12,3,0.00280762,0.000488281
12,4,-0.00610352,0.00183105
12,5,-0.000366211,-0.00292969
12,6,0.000488281,-0.00109863
12,7,-0.00390625,0.00463867
12,8,-0.000610352,0.00720215
12,9,-0.000610352,0.00317383
12,10,-0.00170898,0.00292969
12,11,0.00195312,-0.00170898
12,12,-0.00109863,-0.00231934
12,13,0.000610352,0.000488281
12,14,0.000244141,-0.00134277
12,15,0.00195312,0.0012207
12,16,-0.00695801,0.000488281
12,17,-0.00146484,0.00268555
12,18,-0.00585938,0.000976562
12,19,-0.00268555,0.00256348
12,20,-0.00268555,0.00231934
12,21,0.00012207,0.00280762
12,22,-0.0020752,-0.00646973
12,23,-0.00231934,-0.000854492
12,24,-0.00146484,-0.00158691
12,25,-0.00463867,-0.0012207
12,26,0.00244141,-0.00012207
12,27,-0.000854492,-0.00231934
12,28,0.00256348,-0.00280762
12,29,-0.000854492,-0.0012207
12,30,0.00390625,-0.00170898
12,31,0.00512695,0.00341797
12,32,-0.00634766,-0.00378418
12,33,-0.00183105,0.000610352
12,34,-0.000244141,0.00012207
12,35,-0.00183105,-0.00268555
12,36,0.0032959,-0.00292969
12,37,-0.00317383,0.00683594
12,38,-0.000488281,-0.00268555
12,39,-0.000854492,-0.0045166
12,40,-0.0020752,-0.00366211
12,41,0.00439453,0.00292969
12,42,0.00830078,0.000366211
12,43,-0.00183105,-0.000976562
12,44,-0.00366211,-0.00512695
12,45,-0.00268555,-0.00427246
12,46,-0.00219727,0.000610352
12,47,-0.00280762,-0.00585938
13,0,-0.00170898,0.00598145
13,1,0.00598145,-0.00427246
13,2,-0.00317383,0.000732422
13,3,-0.00134277,-0.00219727
13,4,-0.00720215,0.00158691
13,5,0,0.00134277
13,6,-0.000976562,0.000976562
13,7,-0.00354004,0.00292969
13,8,-0.00354004,-0.00134277
13,9,-0.00134277,0.00244141
13,10,-0.00256348,-0.00268555
13,11,-0.00134277,-0.00476074
13,12,0.000610352,-0.00231934
13,13,-0.0012207,-0.0012207
13,14,0.00183105,-0.00598145
13,15,0.0020752,0.0020752
13,16,-0.00732422,-0.00146484
13,17,0.0032959,-0.00109863
13,18,0.00463867,-0.00012207
13,19,0.000976562,-0.0032959
13,20,-0.00390625,0.00256348
13,21,0.000488281,0.00366211
13,22,0.00109863,0.0012207
13,23,0.00256348,-0.000976562
13,24,-0.00183105,-0.00366211
13,25,-0.00231934,-0.00463867
13,26,-0.0012207,0.00109863
13,27,0.00158691,-0.00488281
13,28,0.00292969,-0.00158691
13,29,-0.000732422,0.000976562
13,30,0.00305176,0.00134277
13,31,0.00305176,-0.00292969
13,32,0.00305176,-0.00244141
13,33,-0.00280762,0.00109863
13,34,-0.00012207,-0.00244141
13,35,-0.0012207,0.000244141
13,36,0.000488281,-0.00170898
13,37,-0.00134277,-0.000610352
13,38,0.00183105,-0.000488281
13,39,-0.000610352,0.00170898
13,40,-0.00183105,0
13,41,0.00146484,-0.000854492
13,42,-0.00366211,-0.000488281
13,43,0.00158691,0.00219727
13,44,0,0.0012207
13,45,0.00012207,0.00427246
13,46,-0.00524902,0.00231934
13,47,0.00292969,-0.0045166
14,0,-0.174438,-0.0394287
14,1,-0.187622,0.0795898
14,2,-0.181885,0.189819
14,3,-0.158569,0.202026
14,4,0.146851,-0.218018
14,5,0.0614014,-0.10498
