pixel,elem,real,imag
11,33,-0.0438618672,0.0452368564
11,34,0.0058958436,0.0627327869
11,35,0.0267915630,0.0570299407
11,36,0.0361950583,0.0515766024
11,37,0.0515224122,0.0362726984
11,38,0.0610476768,-0.0156036369
11,39,0.0277978103,-0.0565468237
11,40,0.0036296539,-0.0629052000
11,41,0.0356763627,-0.0519360459
11,42,0.0574130425,-0.0259577754
11,43,0.0616648413,-0.0129441939
11,44,0.0627061840,-0.0061682481
11,45,0.0625587312,0.0075214502
11,46,0.0496253791,0.0388271968
11,47,0.0223506431,0.0589120548
12,0,-0.0453701442,-0.0437270016
12,1,-0.0561868893,-0.0285188271
12,2,-0.0620750435,-0.0108091688
12,3,-0.0629185978,-0.0033689113
12,4,-0.0630107621,0.0003778908
12,5,-0.0625202127,0.0078493778
12,6,-0.0574756002,0.0258173339
12,7,-0.0473920350,0.0415213716
12,8,0.0238106846,0.0583390592
12,9,0.0556116259,0.0296297212
12,10,0.0617029678,-0.0127775833
12,11,0.0558413078,-0.0291922547
12,12,0.0512664977,-0.0366343768
12,13,0.0392683806,-0.0492778462
12,14,-0.0013193368,-0.0629966176
12,15,-0.0412968938,-0.0475917909
12,16,-0.0626675588,0.0065698943
12,17,-0.0286430520,0.0561229721
12,18,0.0314470052,0.0546023032
12,19,0.0501426245,0.0381583396
12,20,0.0566934215,0.0274997853
12,21,0.0629195099,0.0033923386
12,22,0.0371344643,-0.0509038267
12,23,-0.0224432150,-0.0588771699
12,24,-0.0422905276,-0.0467089721
12,25,-0.0024348348,-0.0629615608
12,26,0.0385566796,-0.0498347489
12,27,0.0507847125,-0.0372966113
12,28,0.0554754943,-0.0298772537
12,29,0.0615566347,-0.0134530513
12,30,0.0558322954,0.0292056997
12,31,0.0240542574,0.0582366644
12,32,-0.0626948596,0.0063074470
12,33,-0.0290684776,0.0559055560
12,34,0.0308440911,0.0549468601
12,35,0.0496664394,0.0387758909
12,36,0.0563290977,0.0282367628
12,37,0.0628618753,0.0042973494
12,38,0.0380282187,-0.0502370595
12,39,-0.0211978718,-0.0593371809
12,40,-0.0630025107,0.0009652426
12,41,-0.0629983149,0.0011776385
12,42,-0.0629935516,0.0013888909
12,43,-0.0629917522,0.0014733606
12,44,-0.0629910511,0.0015157098
12,45,-0.0629896466,0.0016009774
12,46,-0.0629854291,0.0018134635
12,47,-0.0629803789,0.0020276130
13,0,-0.0611266814,0.0152909400
13,1,-0.0138657280,0.0614692066
13,2,0.0486405371,0.0400552813
13,3,0.0610900148,0.0154275956
13,4,0.0629915194,0.0016663408
13,5,0.0576634267,-0.0254075228
13,6,0.0032688788,-0.0629233123
13,7,-0.0547181319,-0.0312486023
13,8,-0.0625522905,-0.0076222541
13,9,-0.0388273293,-0.0496313503
13,10,0.0076606815,-0.0625448509
13,11,0.0266218864,-0.0571127490
13,12,0.0352324675,-0.0522423166
13,13,0.0496583069,-0.0387919131
13,14,0.0625423870,0.0077030652
13,15,0.0387618897,0.0496812545
13,16,-0.0628897663,-0.0038619732
13,17,-0.0440123512,0.0450852835
13,18,0.0053760480,0.0627763055
13,19,0.0262042265,0.0572996963
13,20,0.0356116684,0.0519775471
13,21,0.0510375387,0.0369492504
13,22,0.0613209981,-0.0144946759
13,23,0.0290980217,-0.0558913248
13,24,-0.0493524131,-0.0391823680
13,25,-0.0573841089,-0.0260369138
13,26,-0.0619848729,-0.0113336894
13,27,-0.0627959514,-0.0052109640
13,28,-0.0629759237,-0.0021272225
13,29,-0.0628812260,0.0040482401
13,30,-0.0600204680,0.0191874284
13,31,-0.0535706793,0.0331774507
13,32,-0.0466532831,-0.0423499013
13,33,-0.0575597242,-0.0256299392
13,34,-0.0626859174,-0.0063378760
13,35,-0.0629835696,0.0016689634
13,36,-0.0627504509,0.0056703556
13,37,-0.0615241488,0.0135885589
13,38,-0.0541884618,0.0321511060
13,39,-0.0414166933,0.0474865316
13,40,0.0219681010,0.0590555135
13,41,0.0492290467,0.0393280051
13,42,0.0624489106,0.0083828072
13,43,0.0627937112,-0.0052118620
13,44,0.0618641158,-0.0119574591
13,45,0.0578582496,-0.0249533709
13,46,0.0367653424,-0.0511724146
13,47,0.0051878896,-0.0627955965
14,0,-0.0612844252,-0.0146497066
14,1,-0.0558210213,0.0292264521
14,2,-0.0228725942,0.0587105841
14,3,-0.0053300989,0.0627827570
14,4,0.0036965385,0.0629031743
14,5,0.0213383990,0.0592875728
14,6,0.0550430745,0.0306687258
14,7,0.0616459927,-0.0130490637
14,8,-0.0072203078,-0.0625981745
14,9,-0.0345064626,-0.0527258444
14,10,-0.0544743371,-0.0316708808
14,11,-0.0593875746,-0.0210576676
14,12,-0.0610854267,-0.0154552790
14,13,-0.0628889433,-0.0038997920
14,14,-0.0579677331,0.0246970139
14,15,-0.0407545307,0.0480560375
14,16,-0.0499401056,-0.0384227087
14,17,-0.0606282472,-0.0171559481
14,18,-0.0626648632,0.0065587973
14,19,-0.0609496545,0.0159723925
14,20,-0.0595604287,0.0205542380
14,21,-0.0557616273,0.0293363692
14,22,-0.0409018675,0.0479281586
14,23,-0.0202073361,0.0596820829
14,24,0.0339871437,0.0530575113
14,25,0.0496168084,0.0388387071
14,26,0.0596668541,0.0202511861
14,27,0.0618462973,0.0120501015
14,28,0.0625174792,0.0078583754
14,29,0.0630064175,-0.0006132310
14,30,0.0592615961,-0.0214090769
14,31,0.0488525615,-0.0397971092
14,32,-0.0592711840,0.0213829734
14,33,-0.0027033518,0.0629527830
14,34,0.0572191991,0.0263882412
14,35,0.0629580296,-0.0025543156
14,36,0.0606095617,-0.0172238550
14,37,0.0461231533,-0.0429278404
14,38,-0.0222187677,-0.0589619771
14,39,-0.0629827535,-0.0018136223
14,40,-0.0568417305,0.0271934997
14,41,-0.0590765524,-0.0219232522
14,42,-0.0253392135,-0.0576916833
14,43,-0.0058634018,-0.0627371137
14,44,0.0042278309,-0.0628682056
14,45,0.0238280725,-0.0583313763
14,46,0.0584850413,-0.0234522862
14,47,0.0575291704,0.0257079137
15,0,-0.0543558747,-0.0318796904
15,1,-0.0629218403,-0.0033474664
15,2,-0.0574241016,0.0259325785
15,3,-0.0514582023,0.0363591073
15,4,-0.0477595087,0.0411009505
15,5,-0.0390937098,0.0494161296
15,6,-0.0120199989,0.0618531932
15,7,0.0177388218,0.0604673043
15,8,0.0533226475,0.0335825464
15,9,0.0564492060,0.0280048309
15,10,0.0589963949,0.0221406589
15,11,0.0598469957,0.0197274314
